,,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Breaker Types,Breaker Types,Breaker Types,Breaker Types,Breaker Types,Breaker Types,Breaker Types,Conductor,Conductor,Conductor,Conductor,Cable Core,Cable Core,Cable Core,Cable Core,Cable Core,Cable Core,Cable Core,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Insulation,Cable Insulation,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs
Amps,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaker Types,MCB,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,,1,1,1,,,,,
Breaker Types,MCCB,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,,,,,,,,,,1,,,,,,,,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,,
Breaker Types,RCBO,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaker Types,RCCB,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,1,,1,,,,,,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,
Breaker Types,ELCB,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaker Types,ACB,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,1,
Breaker Types,VCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductor,Solid Aluminium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductor,Solid Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductor,Stranded Aluminium,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,,,,,,,,1,1,,1,,1,,,,1,,1,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,
Conductor,Stranded Copper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,1,1,,1,,1,,,,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,
Cable Core,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,,,,,,,,1,1,,,,1,,,,1,1,1,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,,1,1,1,
Cable Core,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Core,3,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,,,1,,,,,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,
Cable Core,3.5,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,,,,,,,1,1,,,,1,,,,1,1,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,
Cable Core,4,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,,,,,,,,,,,,1,1,,1,,,,,,1,1,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,
Cable Core,5,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,1,,,1,,,,,,,,,1,,1,,,,,,,,,
Cable Core,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Size,1.5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Cable Size,2.5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,
Cable Size,4,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,
Cable Size,6,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,1,1,1,,1,1,,,,,,
Cable Size,10,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,1,,1,,1,,,,,,,1,,,,,,,,,,,,,1,1,1,,1,1,1,,,,,
Cable Size,16,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,1,,,,1,1,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,1,,,,,
Cable Size,25,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,1,,,1,1,,,,,,,,,1,,,,,,,,,,,1,1,1,,,1,1,,,,,
Cable Size,35,,,,,,,,1,1,1,1,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,1,1,,,,,
Cable Size,50,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,1,,,1,1,1,,,,,,,,,,1,,,,,,,,,1,1,1,,,1,1,,,,,
Cable Size,70,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,,,,,,
Cable Size,95,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,1,,,,,,,1,,1,,,1,1,,,,,
Cable Size,120,,,,,,,,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,1,1,,,,,
Cable Size,150,,,,,,,1,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,1,1,,,,,
Cable Size,185,,,,,,,,,,,,,1,1,,1,1,,1,1,1,,,,,,,,,,,,1,,,,1,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,1,1,1,
Cable Size,240,,,,,,,,,,,,,1,1,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,1,1,,,,,
Cable Size,300,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,,,,,,
Cable Size,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Cable Insulation,XLPE,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,,,,,,,1,1,,1,,1,,,,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,1,
Cable Insulation,PVC,,1,1,1,1,1,1,1,1,,1,,1,1,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,1,,1,1,1,,,,1,1,1,1,1,1,,1,1,,1,1,1,,,,,1,1,1,1,1,1,,,,,
Number of Runs,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,
Number of Runs,2,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,,1,,,,,,,,
Number of Runs,3,1,1,1,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,1,1,,,,1,,,,1,1,1,,,1,,,,1,1,1,1,1,,,,,,,,,1,1,1,,1,1,,,1,,,,,,,
Number of Runs,4,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,1,,,,,,
Number of Runs,5,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,,,1,1,,,,,1,,,,,
Number of Runs,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Number of Runs,8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
Number of Runs,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
Number of Runs,12,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,
Number of Runs,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
